,Waveform,m1,m2,Merger Position,Distance,PSNAR
0,"[ 1.73286786e-22  4.99501702e-22  2.99948088e-22 ...  7.11706449e-23
 -1.52593081e-23  1.46744576e-22]",107.0,15.0,1,610,1.686278213926998
1,"[-1.79039493e-21 -1.48330560e-21 -1.71376772e-21 ... -2.71247782e-23
  6.67283947e-23 -9.24834186e-23]",131.0,103.0,2,610,8.7555135287246
2,"[-3.75225403e-22 -2.77983220e-23 -2.68953477e-22 ... -1.25317841e-22
 -3.28237187e-23 -1.14845036e-22]",142.0,15.0,1,610,1.723910613361846
3,"[ 7.75622474e-22  1.12189276e-21  8.19024984e-22 ... -1.86592479e-23
 -2.48603299e-23 -9.98269947e-23]",116.0,68.0,2,610,6.386770676661148
4,"[-1.67409825e-22 -1.35914546e-22 -5.68629380e-23 ...  1.67558184e-22
  5.71807440e-23 -2.93911623e-22]",63.0,8.0,1,610,0.8133551563020869
5,"[ 6.76535542e-23 -2.18678307e-22  8.48239319e-23 ...  6.89046098e-23
  9.49959215e-24 -3.13959582e-23]",59.0,2.0,0,610,0.2958869006896974
6,"[ 4.34706991e-22  4.78243500e-22  3.15774175e-22 ...  1.47128846e-23
 -3.76180679e-23  6.29641163e-23]",128.0,32.0,0,610,3.3942953596193326
7,"[-4.62135958e-22 -6.66527822e-22 -2.73774097e-22 ... -2.28697466e-23
  5.30239547e-23  8.80561835e-23]",63.0,41.0,1,610,3.191332802053617
8,"[ 7.67260753e-22  5.86222361e-22  9.10125101e-22 ... -2.89607567e-23
 -1.90314531e-22  1.44648826e-22]",127.0,105.0,2,610,7.731052429918618
9,"[-6.24711627e-23  1.35869088e-22 -8.83813461e-23 ...  1.86491793e-22
  7.22738406e-23  7.08593627e-23]",99.0,32.0,2,610,3.569849485712575
10,"[-3.62085156e-22 -2.84555623e-22 -3.77289257e-22 ...  1.52084374e-22
 -4.98415846e-23 -2.45015599e-22]",88.0,44.0,1,610,3.8316223604835726
11,"[-1.72544354e-22  6.13871154e-23  4.97340109e-23 ... -6.50127350e-23
 -3.23229887e-22  4.25696941e-24]",102.0,87.0,1,610,7.419675533551148
12,"[ 3.68672918e-22 -2.24844638e-24  1.56075138e-22 ... -4.53121381e-24
  3.60599628e-23 -1.88542978e-22]",53.0,23.0,0,610,2.303738358144934
13,"[-4.45275481e-22 -6.04713568e-22 -7.73333178e-22 ... -9.11805252e-23
  1.34995309e-23  6.47986136e-23]",99.0,38.0,2,610,4.215052911305858
14,"[-9.35453225e-22 -1.16083701e-21 -1.13195273e-21 ...  2.13940672e-22
  9.57320373e-23  1.29606644e-22]",138.0,106.0,2,610,9.0364848823615
15,"[ 7.85970982e-23 -1.53976998e-22 -1.59297363e-22 ...  7.74246842e-23
 -2.57481543e-23  1.20817792e-22]",99.0,70.0,2,610,6.364068795404316
16,"[-1.11006901e-22 -4.12969593e-23  2.28422953e-23 ... -7.04180777e-23
 -2.81899716e-22 -1.11799441e-22]",26.0,22.0,0,610,1.678766606598629
17,"[-2.98889002e-23 -8.04194696e-24 -1.36818308e-23 ... -1.79688238e-22
  4.64212984e-23 -1.88962328e-22]",9.0,2.0,0,610,0.17459874113259444
18,"[ 6.30342616e-22  4.59701219e-22  7.15790737e-22 ... -3.39339128e-23
  5.35392589e-23 -5.87221645e-23]",101.0,72.0,0,610,6.453085907213266
19,"[ 2.18441704e-22  2.32329268e-22  1.80538692e-22 ...  1.11229634e-22
 -5.77464223e-23  4.63193499e-23]",121.0,69.0,2,610,6.52467742103776
20,"[-1.06118555e-21 -1.23800978e-21 -1.07933107e-21 ... -4.65131214e-23
 -9.68103956e-23  1.48536798e-22]",150.0,121.0,2,610,9.878008096206303
21,"[-1.50506990e-23 -1.52324155e-22 -6.60769503e-23 ...  2.24703536e-22
  4.21546336e-23  5.03576589e-23]",22.0,17.0,0,610,1.417247447680307
22,"[-2.63418675e-22 -9.85714443e-23 -1.04306573e-22 ... -2.65726798e-22
  2.28115884e-22 -7.09436353e-23]",26.0,23.0,2,610,1.8460407540238062
23,"[ 3.25823050e-22  3.93101939e-22  2.52015442e-22 ...  1.58443221e-22
 -1.82902684e-22  1.91564844e-22]",103.0,92.0,1,610,8.151622641331985
24,"[ 2.94267339e-22  9.94220633e-23  4.01959595e-22 ...  9.84149393e-23
 -2.67773211e-22  1.67266285e-22]",123.0,54.438,2,610,4.941752104312852
25,"[ 2.50122375e-22  2.54465283e-22  4.48033534e-23 ... -2.76545634e-23
  1.95345382e-23 -1.02084327e-23]",93.0,42.0,2,610,4.415940536121897
26,"[-8.68349560e-22 -7.48657231e-22 -9.65920928e-22 ...  5.05567045e-23
  7.71997409e-23 -7.42974943e-23]",129.0,75.0,2,610,7.123951461412315
27,"[ 4.37269324e-22 -2.77648751e-23  2.47781619e-22 ...  1.65385604e-22
 -1.00012276e-22  2.08031619e-22]",55.0,16.283,0,610,2.0286951282833465
28,"[ 4.34452690e-22  6.92554805e-22  7.19570655e-22 ... -9.49927183e-23
  1.06887121e-22  1.06702939e-22]",119.0,80.0,0,610,7.470388455726514
