,Waveform,m1,m2,Merger Position,Distance,PSNAR
0,"[ 1.36123662e-24  6.50863304e-23  7.50174957e-23 ... -1.02692901e-22
  2.01840306e-23 -5.02532783e-23]",63.0,3.0,1,410,0.6127881524139844
1,"[-1.90999888e-22 -1.81954443e-22 -4.47446363e-22 ... -6.40450308e-23
  6.71608105e-23  5.56589126e-23]",96.0,45.0,0,410,6.146674711309506
2,"[-4.08753512e-22 -8.13080061e-22 -7.33524701e-22 ... -2.04826860e-23
  8.56562132e-23 -1.89386914e-22]",91.0,44.0,2,410,6.322550272897983
3,"[-1.03004721e-21 -7.09029551e-22 -7.50471943e-22 ...  9.31736276e-23
  9.98500575e-24  3.56423193e-23]",139.0,98.0,0,410,9.673139798189933
4,"[ 1.19480814e-22 -1.90404628e-25  1.47201157e-22 ... -6.13419641e-23
  3.06983572e-22 -1.65024024e-22]",44.0,8.0,0,410,1.4379033881836036
5,"[9.00355950e-22 8.18931313e-22 9.26284412e-22 ... 1.29270516e-22
 3.48540850e-24 2.94323694e-22]",128.0,124.0,2,410,14.907553962962396
6,"[ 1.97243940e-21  1.81075604e-21  2.12568495e-21 ... -2.73197316e-23
  3.32302626e-22  4.72257617e-23]",140.0,116.0,2,410,13.546116777593756
7,"[-1.44706815e-21 -1.51306363e-21 -1.31003782e-21 ... -1.28379005e-22
 -8.55060392e-24  8.06673973e-23]",134.0,104.0,0,410,12.513003653692559
8,"[-3.04817304e-22 -6.22246910e-23 -5.47234079e-22 ...  1.13376268e-22
  9.74925686e-23 -4.79199709e-23]",42.0,29.0,0,410,3.4089422990881895
9,"[-1.13148237e-21 -8.83271141e-22 -9.52717529e-22 ...  1.15460164e-22
 -4.19191333e-23 -5.53842032e-23]",139.0,67.0,0,410,9.431088529969076
10,"[-1.77907530e-21 -1.74326757e-21 -1.62023134e-21 ...  9.01644723e-24
 -6.80519751e-23  2.27837780e-22]",150.0,130.0,0,410,15.612575573329316
11,"[ 9.45008191e-23  1.91786742e-23 -2.19939273e-22 ...  6.03148957e-23
 -1.57080335e-23  6.03450505e-23]",64.0,4.0,2,410,0.6796153374719802
12,"[ 1.54949068e-21  1.52766607e-21  1.49727917e-21 ...  1.51928098e-22
 -1.95501388e-22  2.59327103e-24]",128.0,76.0,1,410,10.184371750554696
