,Waveform,m1,m2,Merger Position,spin1z,spin2z,Distance,PSNAR
0,"[ 3.20313558e-23 -2.65937558e-23 -5.58363858e-23 ...  2.57965057e-24
 -7.82116655e-23  5.18028619e-23]",121.0,46.0,2,-0.38,-0.036,810,3.4576045396030923
1,"[ 1.41201969e-23 -1.10372847e-22 -6.56094403e-23 ...  5.76062774e-23
  7.47745932e-23 -7.83023506e-23]",150.0,43.0,0,0.006,-0.031,810,2.9305882350074732
2,"[ 1.17892238e-22 -3.19117087e-22 -2.18586427e-22 ... -3.50233662e-23
 -8.67344612e-23 -1.73059179e-22]",94.0,89.0,1,-0.428,0.069,810,4.464925297683085
3,"[-9.87007206e-23  9.49685700e-23  1.61925515e-23 ...  9.51361836e-23
 -4.90370475e-23 -4.64520673e-23]",134.0,4.0,1,-0.415,0.725,810,0.3511195723969841
4,"[-1.06000057e-22  2.14190246e-23  8.17813448e-23 ... -5.36597740e-23
 -5.53262717e-23  4.86385189e-23]",110.0,64.583,1,-0.207,0.035,810,4.0221924561214015
5,"[-4.11374872e-23  2.75608340e-22 -7.11425751e-23 ...  1.30459550e-22
 -8.27774085e-23 -2.24082421e-22]",96.0,71.0,1,0.145,-0.076,810,4.232629546188122
6,"[ 4.47502138e-23 -3.10698460e-24 -4.72156115e-23 ...  2.05733137e-22
 -2.49928291e-22 -6.40716548e-23]",94.0,45.0,1,0.018,0.598,810,3.1836213295091866
7,"[-3.48058863e-23 -1.38874050e-23  1.73089356e-22 ... -4.28435270e-23
 -1.48353784e-22  3.94532321e-23]",143.0,62.0,2,-0.73,0.451,810,4.523846084498923
8,"[ 3.58000826e-23  1.15802293e-22 -3.06139347e-22 ...  1.92788739e-22
  8.50096154e-24 -3.28717355e-23]",128.0,32.0,2,0.53,-0.617,810,2.351820841420187
9,"[ 4.03814296e-23 -3.26059887e-22  2.06229212e-22 ... -1.03733299e-22
  7.36273377e-23  1.60318942e-22]",59.0,21.0,2,-0.142,0.242,810,1.6156618982949553
10,"[ 5.39581719e-23 -5.08901601e-23  1.06307347e-22 ... -8.06255071e-23
  1.33862310e-22 -1.30515166e-22]",141.0,109.0,2,-0.279,-0.425,810,6.753287441116102
11,"[-5.64177365e-23  8.94591113e-23  6.50358922e-23 ... -3.48959018e-23
  4.80147758e-23  5.23746439e-23]",121.0,60.0,2,-0.221,-0.391,810,3.369708832025449
12,"[-7.38778854e-24  4.38352404e-23  4.22935199e-23 ... -2.21089997e-22
  2.62953625e-22 -1.11566513e-22]",91.0,84.0,0,0.354,-0.135,810,4.492476693378656
13,"[-1.98601613e-22  1.26253934e-22 -1.87129689e-22 ...  1.89197929e-23
 -5.69857930e-23 -1.01273560e-23]",115.0,14.0,0,-0.026,0.169,810,1.3037787146490858
14,"[ 2.00031396e-22 -1.22302806e-22 -1.04232346e-22 ...  2.97883583e-23
 -1.70024082e-22  2.35129065e-23]",95.0,76.0,2,0.132,0.648,810,4.379785177427243
15,"[-2.86493303e-22 -1.01800021e-22  1.12772290e-22 ...  3.49035983e-23
  3.07836222e-23  4.12970789e-22]",72.0,38.0,0,0.445,-0.541,810,2.558435529277493
16,"[ 3.90304821e-22  6.42036531e-23 -2.45109074e-23 ...  1.62029215e-22
  2.40086648e-23 -1.30224805e-22]",99.0,70.0,2,0.212,-0.683,810,4.625705115847751
